asin,productName,productUrl,reviewId,title,body,rating,date,author,authorUrl,isVerifiedPurchase,helpfulVotes,reviewUrl,marketplace,scrapedAt,_source_star_filter,_source_sort
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,R2YBVB48B23UYG,Best 1 year old birthday gift,Our granddaughter LOVES this. It’s extremely sturdy. She’s really hard with it and it’s never tipped over and the fabric is thick!! The parents also love it because it matches their design aesthetic. Easy to assemble – took about 20 minutes.,5,"Reviewed in the United States on December 7, 2025",S. C. Argue,https://www.amazon.com/gp/profile/amzn1.account.AFZOFWOHCWOHQYHEMSSHF3RGRWXA,True,0,https://www.amazon.com/review/R2YBVB48B23UYG/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.629Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,R2RLQ6NKLC3LK,Favorite 1st birthday gift!,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
    This was my daughters favorite 1st birthday gift! It was relatively easy to assemble (easier with 2 people). It’s high quality. The wheels are sturdy and have a bit of resistance, so you don’t have to worry about your toddler moving too fast for their feet to catch up. This isn’t a negative feature in my opinion, but the wheels are incapable of turning. You can not steer the cart, it only moves straight forward. So cute and fun!!
  
Read more",5,"Reviewed in the United States on October 18, 2023",Hilary Kent,https://www.amazon.com/gp/profile/amzn1.account.AH4B4KC5XOCRUTZOD4VY6PNSY7LQ,True,12,https://www.amazon.com/review/R2RLQ6NKLC3LK/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.629Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,R3OXGOPZLRX9FL,Super Super Cute,I had no idea this was going to be as cute as it is. I got it for my grand daughter’s 1st bday and I’m so happy I did. It’s made well and rolls great. Has the cutest material for the basket. She’s going to love it!!  So happy I bought this,5,"Reviewed in the United States on June 12, 2025",Cheryl Allen,https://www.amazon.com/gp/profile/amzn1.account.AGVWJCBRDYHMGKBYZWC7RBASCFBA,True,0,https://www.amazon.com/review/R3OXGOPZLRX9FL/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.630Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,RNGPN4JG1T1ZN,Perfect for baby learning to walk!,"This thing is great for my one year old learning to walk! She can’t use regular baby doll strollers cause they don’t have enough weight in them, but this is perfect! She loves it so much and can pull herself up on it and walk it with no help! She does need help with turning it. I will say the instructions are a pain, but once you get one side down it’s super easy and common sense. It does squeak, but I rather hear a squeak than break my back helping her walk with a regular baby doll stroller!",4,"Reviewed in the United States on May 13, 2025",Samantha Ott,https://www.amazon.com/gp/profile/amzn1.account.AE7O5P46H2KKKUTQ5ZTFAGJTE3AQ,True,3,https://www.amazon.com/review/RNGPN4JG1T1ZN/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.632Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,R3KF24RPGV9EC8,Good product but wheels do make noise,The instructions are not the best. But overall seems to be a great product. The wheels do squeeze a little.,5,"Reviewed in the United States on December 19, 2025",felicia scanapico,https://www.amazon.com/gp/profile/amzn1.account.AFIF7KR7SWY76F3JCXQMQPALLNTQ,True,0,https://www.amazon.com/review/R3KF24RPGV9EC8/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.632Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,RIC8VCH6173HG,Cute but quality not the best for the price,The assembly was a little though but it turned out cute! My only complaints is that when pushing it squeaks BAD! It also have threads hanging off everywhere and I’m scared to trim them off and it all unravels.,3,"Reviewed in the United States on May 15, 2025",Brendon A.,https://www.amazon.com/gp/profile/amzn1.account.AHWHZ23ZJCDEU26UATNFH7JBOS4Q,True,0,https://www.amazon.com/review/RIC8VCH6173HG/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.633Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,R1UF7K5913SS58,fantastic toy,"This is a perfect toy for little toddlers learning to walk, and for older toddlers to push around and play with toys and stuffies. It is just the right height and is sturdy, well balanced, and cute. I put it together easily with just a screwdriver, and found that the wood is well cut and finished, and the wheels are very well designed.",5,"Reviewed in the United States on April 22, 2023",diannewalkup,https://www.amazon.com/gp/profile/amzn1.account.AER3V5JMU6ZND5ZDGJQH5WI4UDHQ,True,0,https://www.amazon.com/review/R1UF7K5913SS58/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.633Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,RIVOBIG3R1ML0,Safe for like kids,My granddaughter loved  !!!,5,"Reviewed in the United States on March 15, 2026",Very poor the item came in super late and damage. Asking for my refund,https://www.amazon.com/gp/profile/amzn1.account.AHWT5RHLIU6GBZUMEVGL5KEPDMWA,True,0,https://www.amazon.com/review/RIVOBIG3R1ML0/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.633Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,R1AHO28LC7KQSF,,レビューでネジ穴が無いとか、パーツが足りない、棒が短いとかあって心配がありながらも、デザインが良かったので注文しました。中身を開けて組み立てると、ドライバーでネジをさしながら組み立てで行く感じで、20分もかからず1人でできました。パーツの過不足なく、スムーズに組み立てられました！やはりデザインが可愛い！ドライバーを使って小さなネジで組み立てるので簡単ですが、耐久性はどうなのかなと言ったところです。組み立てた後、私がゆらしてみると少しぐらつくのでネジを締め直してみると少しマシにはなりました。1歳半の子にクリスマスプレゼントするのですが、子供が使って壊れなければいいなという感じです。,5,"Reviewed in Japan on December 2, 2023",Amazon カスタマー,,True,0,https://www.amazon.com/review/R1AHO28LC7KQSF/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.634Z,five_star,recent
B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",https://www.amazon.com/dp/B087P9SXZQ,ROLKSFPX9BYIZ,,プラスチック製が多い中、数少ない安価な木製です。車輪の接地面に防音ゴムが巻いてありフローリングを傷つけません。が、まっすぐ押すにはよいのですが曲がりにくそうです。,4,"Reviewed in Japan on October 14, 2024",ばぶすけ,,True,0,https://www.amazon.com/review/ROLKSFPX9BYIZ/ref=cm_cr_dp_d_rvw_ttl,US,2026-04-24T10:18:31.635Z,five_star,recent
