asset_id,filename,site_public_path,site_dist_path,referenced_product_slug,referenced_product_title,collection,world,source_class,source_catalog_path,source_live_probe_url,source_live_download_path,public_sha256_prefix,source_sha256_prefix,live_download_sha256_prefix,dist_copy_matches_public,current_site_usage,dtc_usage_posture,risk_note
SITE-ASSET-001,activity-cube-baby-push-walker.jpg,labebe-gemini-demo/public/assets/products/activity-cube-baby-push-walker.jpg,labebe-gemini-demo/dist/assets/products/activity-cube-baby-push-walker.jpg,activity-cube-baby-push-walker,Activity Cube Baby Push Walker,new-in,Milestone Activity,official_catalog_exact_copy,data/labebe/images/activity-cube-baby-push-walker.jpg,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvZTA0YjlmZTkxMzMyNjE0Mzk0NDcxNjA2XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/e04b9fe91332614394471606_1.jpg,,c1413f6b9b87e990,c1413f6b9b87e990,,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-002,activity-montessori-baby-push-walker.jpg,labebe-gemini-demo/public/assets/products/activity-montessori-baby-push-walker.jpg,labebe-gemini-demo/dist/assets/products/activity-montessori-baby-push-walker.jpg,activity-montessori-baby-push-walker,Activity Montessori Baby Push Walker,new-in,First Steps & Activity,official_catalog_live_probe_exact_copy,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNTUzYmU1YzAxMjk3NjA5MzQ1NjMyOTE1XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/553be5c01297609345632915_1.jpg,data/labebe/live_probe_images_20260428/activity-montessori-baby-push-walker.jpg,6593db88de5960a7,,6593db88de5960a7,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-003,blue-squirrel-plush-rocker.jpg,labebe-gemini-demo/public/assets/products/blue-squirrel-plush-rocker.jpg,labebe-gemini-demo/dist/assets/products/blue-squirrel-plush-rocker.jpg,blue-squirrel-plush-rocker,Blue Squirrel Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_live_probe_exact_copy,data/labebe/images/blue-squirrel-plush-rocker.jpg,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMmZlOTNhNWUxMjk3OTM1OTk4MDMwMzIwLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDgwfSwicm90YXRlIjpudWxsfX0=/2fe93a5e1297935998030320.jpg,data/labebe/live_probe_images_20260428/blue-squirrel-plush-rocker.jpg,34acaada1363ba42,bfd79bf6aba017ba,34acaada1363ba42,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-004,children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art.jpg,labebe-gemini-demo/public/assets/products/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art.jpg,labebe-gemini-demo/dist/assets/products/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art.jpg,children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Children’s Writing Desk and Chair Set,furniture,Study & Art Corner,official_catalog_exact_copy,data/labebe/images/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art.jpg,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNmRhMzIyYjcxMzQ5OTk4MTkwNzI5MTQ1XzkuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/6da322b71349998190729145_9.jpg,,22061dcb3fac9ed1,22061dcb3fac9ed1,,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-005,classic-montessori-baby-push-walker.jpg,labebe-gemini-demo/public/assets/products/classic-montessori-baby-push-walker.jpg,labebe-gemini-demo/dist/assets/products/classic-montessori-baby-push-walker.jpg,classic-montessori-baby-push-walker,Classic Montessori Baby Push Walker,new-in,First Steps & Activity,official_catalog_live_probe_exact_copy,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMzE2OGFjNDkxMjY5MzM3MzcxMDY0NDUyXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/3168ac491269337371064452_1.jpg,data/labebe/live_probe_images_20260428/classic-montessori-baby-push-walker.jpg,d2dbce98e0b08fe5,,d2dbce98e0b08fe5,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-006,cream-wooden-play-kitchen-set-with-storage.jpg,labebe-gemini-demo/public/assets/products/cream-wooden-play-kitchen-set-with-storage.jpg,labebe-gemini-demo/dist/assets/products/cream-wooden-play-kitchen-set-with-storage.jpg,cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,pretend-play,Tiny Pretend Worlds,official_catalog_exact_copy,data/labebe/images/cream-wooden-play-kitchen-set-with-storage.jpg,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMmY5NTU1ZTIxMzY0Mzc3Nzk5OTcxMjc0LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NjQwfSwicm90YXRlIjpudWxsfX0=/2f9555e21364377799971274.jpg,,9f1cda5c8f4bbe11,9f1cda5c8f4bbe11,,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-007,crocodile-plush-rocker.jpg,labebe-gemini-demo/public/assets/products/crocodile-plush-rocker.jpg,labebe-gemini-demo/dist/assets/products/crocodile-plush-rocker.jpg,crocodile-plush-rocker,Crocodile Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_live_probe_exact_copy,data/labebe/images/crocodile-plush-rocker.jpg,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNGM0OWM2OWUxMjUxNjMwNDg3NDk2NjQ3XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/4c49c69e1251630487496647_1.jpg,data/labebe/live_probe_images_20260428/crocodile-plush-rocker.jpg,1463b888ef59c7d0,5fbe348c814a4671,1463b888ef59c7d0,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-008,farm-themed-baby-push-walker.jpg,labebe-gemini-demo/public/assets/products/farm-themed-baby-push-walker.jpg,labebe-gemini-demo/dist/assets/products/farm-themed-baby-push-walker.jpg,farm-themed-baby-push-walker,Farm-Themed Baby Push Walker,new-in,First Steps & Activity,official_catalog_live_probe_exact_copy,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvZmQzZDEwNmUxMjYyOTc1Nzc3OTA0MDQ3XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/fd3d106e1262975777904047_1.jpg,data/labebe/live_probe_images_20260428/farm-themed-baby-push-walker.jpg,eb43858990737277,,eb43858990737277,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-009,foldable-learning-tower-montessori-kitchen-tower-log-color.jpg,labebe-gemini-demo/public/assets/products/foldable-learning-tower-montessori-kitchen-tower-log-color.jpg,labebe-gemini-demo/dist/assets/products/foldable-learning-tower-montessori-kitchen-tower-log-color.jpg,foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower Montessori Kitchen Tower,furniture,Montessori at Home,official_catalog_exact_copy,data/labebe/images/foldable-learning-tower-montessori-kitchen-tower-log-color.jpg,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMTVjNzY5ZGQxMjk3OTQ3MzU2MjA1NTMzXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/15c769dd1297947356205533_1.jpg,,f1bee258fe54c0a6,f1bee258fe54c0a6,,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
SITE-ASSET-010,fox-plush-rocker.jpg,labebe-gemini-demo/public/assets/products/fox-plush-rocker.jpg,labebe-gemini-demo/dist/assets/products/fox-plush-rocker.jpg,fox-plush-rocker,Fox Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_live_probe_exact_copy,data/labebe/images/fox-plush-rocker.jpg,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYmQzYjQ5ZmMxMjUxNjMwNDg3NDk2NTk5XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/bd3b49fc1251630487496599_1.jpg,data/labebe/live_probe_images_20260428/fox-plush-rocker.jpg,f9dc74849c24bbbe,e0aea8298b516454,f9dc74849c24bbbe,yes,referenced_by_current_consumer_site,conditional_for_dtc_after_brand_rights_confirmed,Prototype uses Labebe catalog imagery or a live-probe catalog image reference; production still needs brand/legal confirmation.
