asset_id,local_path,filename,media_type,file_size_bytes,sha256_prefix,source_category,source_path_or_url,duplicate_of,likely_role,scene_tag,usage_caveat
DL-001,data/labebe/images/activity-cube-baby-push-walker.jpg,activity-cube-baby-push-walker.jpg,image,unknown,unknown,official_catalog,https://media.cdn.ishopastro.com/...,DL-036,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reuse permission unverified
DL-002,data/labebe/images/blue-squirrel-plush-rocker.jpg,blue-squirrel-plush-rocker.jpg,image,unknown,unknown,official_catalog,https://media.cdn.ishopastro.com/...,none,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reuse permission unverified
DL-003,data/labebe/images/cream-wooden-play-kitchen-set-with-storage.jpg,cream-wooden-play-kitchen-set-with-storage.jpg,image,292433,9f1cda5c8f4bbe11,official_catalog,https://media.cdn.ishopastro.com/...,DL-037;DL-070;DL-090,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 3 other local dirs
DL-004,data/labebe/images/foldable-learning-tower-montessori-kitchen-tower-log-color.jpg,foldable-learning-tower-montessori-kitchen-tower-log-color.jpg,image,825990,f1bee258fe54c0a6,official_catalog,https://media.cdn.ishopastro.com/...,DL-038;DL-071;DL-091,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 3 other local dirs
DL-005,data/labebe/images/highlander-cattle-plush-rocker.jpg,highlander-cattle-plush-rocker.jpg,image,376170,e16c2b2adff9f5bd,official_catalog,https://media.cdn.ishopastro.com/...,DL-039;DL-072,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-006,data/labebe/images/kids-coffee-shop-grocery-store-playset.jpg,kids-coffee-shop-grocery-store-playset.jpg,image,467906,8b40be4be046bafe,official_catalog,https://media.cdn.ishopastro.com/...,DL-040;DL-073;DL-075,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 3 other local dirs
DL-007,data/labebe/images/kids-toy-storage-organizer-bookshelf-with-bins.jpg,kids-toy-storage-organizer-bookshelf-with-bins.jpg,image,534332,c0839caa2a4d062c,official_catalog,https://media.cdn.ishopastro.com/...,DL-041;DL-074,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-008,data/labebe/images/learning-tower-montessori-kitchen-tower-white.jpg,learning-tower-montessori-kitchen-tower-white.jpg,image,344919,f2ddceb2dd09341b,official_catalog,https://media.cdn.ishopastro.com/...,DL-042;DL-076,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-009,data/labebe/images/llama-plush-rocker.jpg,llama-plush-rocker.jpg,image,110139,9614fc38080f9d5b,official_catalog,https://media.cdn.ishopastro.com/...,DL-043;DL-077,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-010,data/labebe/images/magnetic-easel-with-deluxe-art-supplies-pink.jpg,magnetic-easel-with-deluxe-art-supplies-pink.jpg,image,870500,0d370eaa3b67b761,official_catalog,https://media.cdn.ishopastro.com/...,DL-078;DL-082,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-011,data/labebe/images/midnight-serenity-wooden-play-kitchen-set.jpg,midnight-serenity-wooden-play-kitchen-set.jpg,image,593744,02f6d7793aa15f99,official_catalog,https://media.cdn.ishopastro.com/...,DL-044;DL-079,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-012,data/labebe/images/natural-wood-montessori-shelf-with-storage-boxes.jpg,natural-wood-montessori-shelf-with-storage-boxes.jpg,image,484022,7044fe253f8452fd,official_catalog,https://media.cdn.ishopastro.com/...,DL-045;DL-080;DL-092,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 3 other local dirs
DL-013,data/labebe/images/outdoor-garden-potting-bench-table.jpg,outdoor-garden-potting-bench-table.jpg,image,1197729,555fe94fa909e066,official_catalog,https://media.cdn.ishopastro.com/...,DL-081;DL-083,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-014,data/labebe/images/pink-unicorn-plush-rocker.jpg,pink-unicorn-plush-rocker.jpg,image,127164,be5e5b9d8afd7647,official_catalog,https://media.cdn.ishopastro.com/...,DL-046;DL-084;DL-093,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 3 other local dirs
DL-015,data/labebe/images/rubber-wood-corner-cabinet.jpg,rubber-wood-corner-cabinet.jpg,image,507465,cbbdf825863c8374,official_catalog,https://media.cdn.ishopastro.com/...,DL-085;DL-095,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-016,data/labebe/images/wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink.jpg,wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink.jpg,image,420807,57b7d4adb292dbe4,official_catalog,https://media.cdn.ishopastro.com/...,DL-086;DL-094,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
DL-017,data/labebe/images/wooden-washer-dryer-playset.jpg,wooden-washer-dryer-playset.jpg,image,181122,ff4e7dc64762dcae,official_catalog,https://media.cdn.ishopastro.com/...,DL-087;DL-096,PDP_gallery_main,product_white_background,Scraped from labebeclub.com; reused in 2 other local dirs
