slug_csv,slug_json,slug_match_status,name_clean,title_raw,current_price_usd,original_price_usd,discount_pct_listed,discount_pct_implied,flag_new_listing,flag_hot_listing,from_prefix_listing,reviews_count_listing,collection_listing,product_url,local_hero_image_path,local_hero_image_exists,pdp_gallery_url_count,gallery_files_on_disk,scrape_date_local,unknown_fields
highlander-cattle-plush-rocker,highlander-cattle-plush-rocker,identical,Highlander Cattle Plush Rocker,NEW!Highlander Cattle Plush Rocker$125.99$199.99(6),125.99,199.99,,37,Y,,,6,rockers-ride-ons,https://labebeclub.com/product/highlander-cattle-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/highlander-cattle-plush-rocker.jpg,Y,16,16,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
fox-plush-rocker,fox-plush-rocker,identical,Fox Plush Rocker,Fox Plush Rocker$119.99$189.99(4),119.99,189.99,,37,,,,4,rockers-ride-ons,https://labebeclub.com/product/fox-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/fox-plush-rocker.jpg,Y,7,7,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
llama-plush-rocker,llama-plush-rocker,identical,Llama Plush Rocker,-44%HOTLlama Plush Rocker | labebe®$105.99$189.99(7),105.99,189.99,44,44,,Y,,7,rockers-ride-ons,https://labebeclub.com/product/llama-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/llama-plush-rocker.jpg,Y,7,7,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
labrador-plush-rocker,labrador-plush-rocker,identical,Labrador Plush Rocker,Labrador Plush Rocker$119.99$179.99(3),119.99,179.99,,33,,,,3,rockers-ride-ons,https://labebeclub.com/product/labrador-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/labrador-plush-rocker.jpg,Y,8,8,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
sheep-plush-rocker,sheep-plush-rocker,identical,Sheep Plush Rocker,-31%Sheep Plush Rocker$109.99$159.99(3),109.99,159.99,31,31,,,,3,rockers-ride-ons,https://labebeclub.com/product/sheep-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/sheep-plush-rocker.jpg,Y,8,8,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
white-swan-plush-rocker,white-swan-plush-rocker,identical,White Swan Plush Rocker,-22%HOTWhite Swan Plush Rocker | labebe®From $139.99$179.99(6),139.99,179.99,22,22,,Y,Y,6,rockers-ride-ons,https://labebeclub.com/product/white-swan-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/white-swan-plush-rocker.jpg,Y,12,12,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
crocodile-plush-rocker,crocodile-plush-rocker,identical,Crocodile Plush Rocker,Crocodile Plush Rocker$115.99$189.99(4),115.99,189.99,,39,,,,4,rockers-ride-ons,https://labebeclub.com/product/crocodile-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/crocodile-plush-rocker.jpg,Y,8,8,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
pink-unicorn-plush-rocker,pink-unicorn-plush-rocker,identical,Pink Unicorn Plush Rocker,Pink Unicorn Plush Rocker$109.99(18),109.99,,,,,,,18,rockers-ride-ons,https://labebeclub.com/product/pink-unicorn-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/pink-unicorn-plush-rocker.jpg,Y,7,7,2026-04-24,original_price; pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
wooden-rainbow-rocking-chair,wooden-rainbow-rocking-chair,identical,Wooden Rainbow Rocking Chair,NEW!Wooden Rainbow Rocking Chair$69.99$99.99,69.99,99.99,,30,Y,,,,rockers-ride-ons,https://labebeclub.com/product/wooden-rainbow-rocking-chair,/vol1/1000/projects/toyresearch/data/labebe/images/wooden-rainbow-rocking-chair.jpg,Y,8,8,2026-04-24,reviews_count_listing; pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
yak-plush-rocker,yak-plush-rocker,identical,Yak Plush Rocker,Yak Plush Rocker$105.99$179.99(3),105.99,179.99,,41,,,,3,rockers-ride-ons,https://labebeclub.com/product/yak-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/yak-plush-rocker.jpg,Y,7,7,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
blue-squirrel-plush-rocker,blue-squirrel-plush-rocker,identical,Blue Squirrel Plush Rocker,Blue Squirrel Plush Rocker$119.99$199.99,119.99,199.99,,40,,,,,rockers-ride-ons,https://labebeclub.com/product/blue-squirrel-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/blue-squirrel-plush-rocker.jpg,Y,8,8,2026-04-24,reviews_count_listing; pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
mammoth-plush-rocker,mammoth-plush-rocker,identical,Mammoth Plush Rocker,Mammoth Plush Rocker$119.99$199.99(3),119.99,199.99,,40,,,,3,rockers-ride-ons,https://labebeclub.com/product/mammoth-plush-rocker,/vol1/1000/projects/toyresearch/data/labebe/images/mammoth-plush-rocker.jpg,Y,7,7,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
wooden-rocking-horse,wooden-rocking-horse,identical,Wooden Rocking Horse,Wooden Rocking Horse$65.99$99.99,65.99,99.99,,34,,,,,rockers-ride-ons,https://labebeclub.com/product/wooden-rocking-horse,/vol1/1000/projects/toyresearch/data/labebe/images/wooden-rocking-horse.jpg,Y,8,8,2026-04-24,reviews_count_listing; pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
midnight-serenity-wooden-play-kitchen-set,midnight-serenity-wooden-play-kitchen-set,identical,Midnight Serenity Wooden Play Kitchen Set,NEW!Midnight Serenity Wooden Play Kitchen Set | labebe®$129.99$199.99(10),129.99,199.99,,35,Y,,,10,pretend-play,https://labebeclub.com/product/midnight-serenity-wooden-play-kitchen-set,/vol1/1000/projects/toyresearch/data/labebe/images/midnight-serenity-wooden-play-kitchen-set.jpg,Y,24,24,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
outdoor-mud-kitchen-yellow,outdoor-mud-kitchen-yellow,identical,Outdoor Mud Kitchen - Yellow,NEW!Outdoor Mud Kitchen - Yellow$129.99$189.99(5),129.99,189.99,,32,Y,,,5,pretend-play,https://labebeclub.com/product/outdoor-mud-kitchen-yellow,/vol1/1000/projects/toyresearch/data/labebe/images/outdoor-mud-kitchen-yellow.jpg,Y,9,9,2026-04-24,pdp_text; dimensions; weight; materials; age_range; warnings; certifications; assembly_minutes; shipping_dimensions; variants; inventory_status; review_rating; review_text; asin
