sku_id,asin,dtc_title,pdp_title,pdp_probe_quality,search_candidate_status,candidate_score,pdp_rating,pdp_review_count,dtc_image_url,amazon_image_url,dtc_path,amazon_path,dtc_sha256,amazon_sha256,hash_similarity,color_similarity,title_token_overlap,visual_gate_status,visual_gate_note
crocodile-plush-rocker,B071774PWC,Crocodile Plush Rocker,"labebe Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on",usable_pdp_fact_sample,pdp_queue_variant_cluster,100,4.6,662.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNGM0OWM2OWUxMjUxNjMwNDg3NDk2NjQ3XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/4c49c69e1251630487496647_1.jpg,https://m.media-amazon.com/images/I/71XtG2nyeIL._AC_SY300_SX300_QL70_FMwebp_.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/crocodile-plush-rocker_dtc.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/B071774PWC_amazon.jpg,5619f2d151ff1560c4ccd24fd29dbf67bf5af828b7087f5bcd0dc6a6ded00da5,637c1de2362f96a6fb3931b202143c430a9a7a7f27c3226ad93d4daebbc5cc98,0.668,0.0575,1.0,visual_needs_human_review_title_promising,Title overlap is strong but image similarity is weak; likely scene/variant issue.
highlander-cattle-plush-rocker,B071774PWC,Highlander Cattle Plush Rocker,"labebe Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on",usable_pdp_fact_sample,search_competitor_or_generic_top_result,40,4.6,662.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMzA5ZTgxOTQxMzMyNjE5ODg5MDA5ODMzXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/309e81941332619889009833_1.jpg,https://m.media-amazon.com/images/I/71XtG2nyeIL._AC_SY300_SX300_QL70_FMwebp_.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/highlander-cattle-plush-rocker_dtc.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/B071774PWC_amazon.jpg,ff5c1a56f9eb977b6dd98ca007670a2c8de77cd53cca1183ec500de68e1881fc,637c1de2362f96a6fb3931b202143c430a9a7a7f27c3226ad93d4daebbc5cc98,0.6602,0.0495,0.3333,blocked_search_false_positive,Search candidate status and title overlap indicate likely wrong product or competitor.
pink-unicorn-plush-rocker,B072LXVM36,Pink Unicorn Plush Rocker,"labebe - Baby Rocking Horse, Ride Unicorn, Kid Ride On Toy for 6 Month-3 Year Old, Infant (Boy Girl) Plush Animal Rocker, Toddler/Child Stuffed Ride Toy (Pink) | Kid Ride On Toy, Infant, Plush Animal Rocker, Toddler/Child, Stuffed Ride Toy",usable_pdp_fact_sample,pdp_queue_high_confidence,100,4.7,2657.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvZjI5NWIxOGQxMjUxNjMwMzExMzM1ODU2XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/f295b18d1251630311335856_1.jpg,https://m.media-amazon.com/images/I/61FPE4tksSL._AC_SY300_SX300_QL70_FMwebp_.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/pink-unicorn-plush-rocker_dtc.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/B072LXVM36_amazon.jpg,97d75d02083553fe0677f07106d1326e452e4908384ffef247613d0399bb9efe,11a5619dad2d5824bd9a4e67dc825d830784e359e17067f12e04066dcdf4f456,0.6289,0.1089,1.0,visual_needs_human_review_title_promising,Title overlap is strong but image similarity is weak; likely scene/variant issue.
llama-plush-rocker,B07MFXJ28Y,Llama Plush Rocker,"labebe - Baby Rocking Horse Wooden, Plush Stuffed Rocking Animals White, Kid Ride on Toys for 1-3 Years Old, Llama Rocking Horse for Girl&Boy, Toddler/Infant Rocker for Nursery, Kid Riding Toys/Horse",usable_pdp_fact_sample,search_competitor_or_generic_top_result,55,4.7,358.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvZmVlZGM4MGYxMjUyMDk2MjkwMTI1MjE1XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/feedc80f1252096290125215_1.jpg,https://m.media-amazon.com/images/I/51mzXVQoCBL._AC_SY300_SX300_QL70_FMwebp_.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/llama-plush-rocker_dtc.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/B07MFXJ28Y_amazon.jpg,bfd99e168105348234f1925f85ffce3d61610a61ff02072311892f215db6a764,d5cbe15004400afc9699de88f3f965c6f9e7dda7ad00e54586b98d56a468aa8f,0.6797,0.0465,1.0,visual_needs_human_review_title_promising,Title overlap is strong but image similarity is weak; likely scene/variant issue.
mammoth-plush-rocker,B07Z3DXVQT,Mammoth Plush Rocker,"Amazon.com: labebe - Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift : Toys & Games",weak_no_marketplace_social_proof,pdp_queue_variant_cluster,100,nan,nan,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNWE2MmNkM2UxMjk3NjE2NjI2OTQ0Njg3LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDgwfSwicm90YXRlIjpudWxsfX0=/5a62cd3e1297616626944687.jpg,,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/mammoth-plush-rocker_dtc.jpg,,04ee889f32dcd1a36564097b9c8d8fdf17d5d6d9411c2f38f3366a5119a8139a,,0.0,0.0,1.0,blocked_weak_pdp_probe,PDP probe is weak or incomplete; retry or provider source required before visual promotion.
yak-plush-rocker,B07Z3DXVQT,Yak Plush Rocker,"Amazon.com: labebe - Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift : Toys & Games",weak_no_marketplace_social_proof,pdp_queue_variant_cluster,90,nan,nan,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvOTdkZDhkNDAxMjk3NjE1Njk1ODA5MjU3LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDgwfSwicm90YXRlIjpudWxsfX0=/97dd8d401297615695809257.jpg,,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/yak-plush-rocker_dtc.jpg,,9ee5eb6f0d3b7d135157eea393ea9ea4f3570d3229692676bb7ded16a4d0f430,,0.0,0.0,0.5,blocked_weak_pdp_probe,PDP probe is weak or incomplete; retry or provider source required before visual promotion.
white-swan-plush-rocker,B0BVR63LRR,White Swan Plush Rocker From,"labebe Kids Rocking Horse White Swan with Little Plush Doll Toys, Stuffed Animal Wooden Rocker for Children 6 Months Boys and Girls/Nursery Christmas, Birthday Gift (Rocking Swan with Doll)",usable_pdp_fact_sample,pdp_queue_high_confidence,94,4.8,560.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMGYxY2RhYWYxMjUwNjU3MzUwMjQ0Nzk5XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/0f1cdaaf1250657350244799_1.jpg,https://m.media-amazon.com/images/I/61ty7adkV+L._AC_SY300_SX300_QL70_FMwebp_.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/white-swan-plush-rocker_dtc.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/B0BVR63LRR_amazon.jpg,20abc688f2bd9ab9d5d239111e89f4d8f27f98bbd516a87f0afebaeda4abc1b1,db77ac1c796a9466e1726d7fcd437ccc7f24367210113ef97803fe896ffa8137,0.6426,0.056,0.75,visual_needs_human_review_title_promising,Title overlap is strong but image similarity is weak; likely scene/variant issue.
activity-montessori-baby-push-walker,B0D6YX3XG1,Activity Montessori Baby Push Walker,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",usable_pdp_fact_sample,pdp_queue_variant_cluster,92,4.5,132.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNTUzYmU1YzAxMjk3NjA5MzQ1NjMyOTE1XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/553be5c01297609345632915_1.jpg,https://m.media-amazon.com/images/I/61TbBP7kioL._AC_SY300_SX300_QL70_FMwebp_.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/activity-montessori-baby-push-walker_dtc.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/B0D6YX3XG1_amazon.jpg,f9557e8752fbb59473de8a1be62c2294309372690153c7213bb9e712120f7a10,f359ebcbb380710b36e0d14dab4c712b6a59c83ac3ebd8a7dbc9b763b7d24e99,0.5781,0.081,0.75,visual_needs_human_review_title_promising,Title overlap is strong but image similarity is weak; likely scene/variant issue.
panda-baby-push-walker,B0D6YX3XG1,Panda Baby Push Walker,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",usable_pdp_fact_sample,pdp_queue_variant_cluster,90,4.5,132.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYmJmMDY1NjcxMzExNDQwMjU2MDE5OTE5XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/bbf065671311440256019919_1.jpg,https://m.media-amazon.com/images/I/61TbBP7kioL._AC_SY300_SX300_QL70_FMwebp_.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/panda-baby-push-walker_dtc.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/B0D6YX3XG1_amazon.jpg,516efe2137fb3aba6e70742189f2dc17b9d9d60fc10a75876c5b7e5752df9497,f359ebcbb380710b36e0d14dab4c712b6a59c83ac3ebd8a7dbc9b763b7d24e99,0.5586,0.0767,0.6667,visual_needs_human_review_title_promising,Title overlap is strong but image similarity is weak; likely scene/variant issue.
classic-montessori-baby-push-walker,B0D6YX3XG1,Classic Montessori Baby Push Walker,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",usable_pdp_fact_sample,pdp_queue_variant_cluster,85,4.5,132.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMzE2OGFjNDkxMjY5MzM3MzcxMDY0NDUyXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/3168ac491269337371064452_1.jpg,https://m.media-amazon.com/images/I/61TbBP7kioL._AC_SY300_SX300_QL70_FMwebp_.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/classic-montessori-baby-push-walker_dtc.jpg,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/image_identity_expanded_v1/B0D6YX3XG1_amazon.jpg,60e85412f100c5e570810d98bc3e85255a0ab983e5331febfabd5ffa7f57355b,f359ebcbb380710b36e0d14dab4c712b6a59c83ac3ebd8a7dbc9b763b7d24e99,0.5078,0.0754,0.5,visual_needs_human_review,Image similarity and title overlap are not sufficient for automatic promotion.
