sku_id,asin,identity_lane,next_action,human_review_status,promotion_lane,amazon_url,pdp_title,pdp_price,pdp_rating,pdp_review_count,bought_past_month,sold_by,ships_from,probe_quality,source_screenshot,claim_gate_required,review_crawl_allowed_now,public_copy_allowed,note
crocodile-plush-rocker,B071774PWC,identity_whitelist_candidate,eligible_after_claim_gate,human_confirmed_same_product,eligible_for_identity_promotion,https://www.amazon.com/dp/B071774PWC,"labebe Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on","JPY16,242",4.6,662,,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B071774PWC_structured.png,yes,authorized_pipeline_only,no,DTC and Amazon images show the same crocodile plush rocker; PDP fact sample is usable.
highlander-cattle-plush-rocker,B071774PWC,blocked_negative_example,do_not_use,human_rejected_wrong_product,blocked_negative_training,https://www.amazon.com/dp/B071774PWC,"labebe Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on","JPY16,242",4.6,662,,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B071774PWC_structured.png,yes,no,no,"Search returned Crocodile, not Highlander Cattle. Keep as search false-positive evidence."
pink-unicorn-plush-rocker,B072LXVM36,identity_whitelist_candidate,eligible_after_claim_gate,human_confirmed_same_product,eligible_for_identity_promotion,https://www.amazon.com/dp/B072LXVM36,"labebe - Baby Rocking Horse, Ride Unicorn, Kid Ride On Toy for 6 Month-3 Year Old, Infant (Boy Girl) Plush Animal Rocker, Toddler/Child Stuffed Ride Toy (Pink) | Kid Ride On Toy, Infant, Plush Animal Rocker, Toddler/Child, Stuffed Ride Toy",$99.99,4.7,2657,100+ bought in past month,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B072LXVM36_structured.png,yes,authorized_pipeline_only,no,Amazon image is a child-in-scene variant of the same Pink Unicorn rocker.
llama-plush-rocker,B07MFXJ28Y,identity_whitelist_candidate,eligible_after_claim_gate,human_confirmed_same_product,eligible_for_identity_promotion,https://www.amazon.com/dp/B07MFXJ28Y,"labebe - Baby Rocking Horse Wooden, Plush Stuffed Rocking Animals White, Kid Ride on Toys for 1-3 Years Old, Llama Rocking Horse for Girl&Boy, Toddler/Infant Rocker for Nursery, Kid Riding Toys/Horse",$129.99,4.7,358,,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B07MFXJ28Y_structured.png,yes,authorized_pipeline_only,no,DTC and Amazon images show the same Llama plush rocker.
mammoth-plush-rocker,B07Z3DXVQT,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B07Z3DXVQT,"Amazon.com: labebe - Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift : Toys & Games",,,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B07Z3DXVQT_structured.png,yes,no,no,"Title suggests Mammoth, but Amazon image/social-proof capture is missing; do not promote without retry."
yak-plush-rocker,B07Z3DXVQT,blocked_negative_example,do_not_use,human_rejected_wrong_variant,blocked_negative_training,https://www.amazon.com/dp/B07Z3DXVQT,"Amazon.com: labebe - Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift : Toys & Games",,,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B07Z3DXVQT_structured.png,yes,no,no,"ASIN text points to Mammoth, not Yak; do not map to Yak."
white-swan-plush-rocker,B0BVR63LRR,identity_whitelist_candidate,eligible_after_claim_gate,human_confirmed_same_product,eligible_for_identity_promotion,https://www.amazon.com/dp/B0BVR63LRR,"labebe Kids Rocking Horse White Swan with Little Plush Doll Toys, Stuffed Animal Wooden Rocker for Children 6 Months Boys and Girls/Nursery Christmas, Birthday Gift (Rocking Swan with Doll)","JPY23,886",4.8,560,,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0BVR63LRR_structured.png,yes,authorized_pipeline_only,no,DTC and Amazon images show the same White Swan rocker family; Amazon includes the companion plush.
activity-montessori-baby-push-walker,B0D6YX3XG1,variant_cluster_research,no_exact_sku_claim,human_variant_cluster_not_exact,variant_cluster_review,https://www.amazon.com/dp/B0D6YX3XG1,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys","JPY7,961",4.5,132,100+ bought in past month,Pretty valley,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0D6YX3XG1_structured.png,yes,no,no,Both are activity walkers but the Amazon image is a different model/variant. Do not use as exact SKU proof.
panda-baby-push-walker,B0D6YX3XG1,blocked_negative_example,do_not_use,human_rejected_wrong_variant,blocked_negative_training,https://www.amazon.com/dp/B0D6YX3XG1,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys","JPY7,961",4.5,132,100+ bought in past month,Pretty valley,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0D6YX3XG1_structured.png,yes,no,no,Amazon image is not the Panda walker.
classic-montessori-baby-push-walker,B0D6YX3XG1,variant_cluster_research,no_exact_sku_claim,human_variant_cluster_not_exact,variant_cluster_review,https://www.amazon.com/dp/B0D6YX3XG1,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys","JPY7,961",4.5,132,100+ bought in past month,Pretty valley,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0D6YX3XG1_structured.png,yes,no,no,Amazon image is a related activity walker but not the same DTC classic model.
