asin,sku_id,dtc_title,candidate_score,search_candidate_status,pdp_probe_quality,pdp_title,pdp_rating,pdp_review_count,source_json
B071774PWC,crocodile-plush-rocker,Crocodile Plush Rocker,100,pdp_queue_variant_cluster,usable_pdp_fact_sample,"labebe Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on",4.6,662,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B071774PWC_structured.json
B071774PWC,highlander-cattle-plush-rocker,Highlander Cattle Plush Rocker,40,search_competitor_or_generic_top_result,usable_pdp_fact_sample,"labebe Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on",4.6,662,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B071774PWC_structured.json
B072LXVM36,pink-unicorn-plush-rocker,Pink Unicorn Plush Rocker,100,pdp_queue_high_confidence,usable_pdp_fact_sample,"labebe - Baby Rocking Horse, Ride Unicorn, Kid Ride On Toy for 6 Month-3 Year Old, Infant (Boy Girl) Plush Animal Rocker, Toddler/Child Stuffed Ride Toy (Pink) | Kid Ride On Toy, Infant, Plush Animal Rocker, Toddler/Child, Stuffed Ride Toy",4.7,2657,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B072LXVM36_structured.json
B07MFXJ28Y,llama-plush-rocker,Llama Plush Rocker,55,search_competitor_or_generic_top_result,usable_pdp_fact_sample,"labebe - Baby Rocking Horse Wooden, Plush Stuffed Rocking Animals White, Kid Ride on Toys for 1-3 Years Old, Llama Rocking Horse for Girl&Boy, Toddler/Infant Rocker for Nursery, Kid Riding Toys/Horse",4.7,358,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07MFXJ28Y_structured.json
B07Z3DXVQT,mammoth-plush-rocker,Mammoth Plush Rocker,100,pdp_queue_variant_cluster,weak_no_marketplace_social_proof,"Amazon.com: labebe - Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift : Toys & Games",,,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07Z3DXVQT_structured.json
B07Z3DXVQT,yak-plush-rocker,Yak Plush Rocker,90,pdp_queue_variant_cluster,weak_no_marketplace_social_proof,"Amazon.com: labebe - Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift : Toys & Games",,,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07Z3DXVQT_structured.json
B0BVR63LRR,white-swan-plush-rocker,White Swan Plush Rocker From,94,pdp_queue_high_confidence,usable_pdp_fact_sample,"labebe Kids Rocking Horse White Swan with Little Plush Doll Toys, Stuffed Animal Wooden Rocker for Children 6 Months Boys and Girls/Nursery Christmas, Birthday Gift (Rocking Swan with Doll)",4.8,560,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0BVR63LRR_structured.json
B0D6YX3XG1,activity-montessori-baby-push-walker,Activity Montessori Baby Push Walker,92,pdp_queue_variant_cluster,usable_pdp_fact_sample,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",4.5,132,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0D6YX3XG1_structured.json
B0D6YX3XG1,panda-baby-push-walker,Panda Baby Push Walker,90,pdp_queue_variant_cluster,usable_pdp_fact_sample,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",4.5,132,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0D6YX3XG1_structured.json
B0D6YX3XG1,classic-montessori-baby-push-walker,Classic Montessori Baby Push Walker,85,pdp_queue_variant_cluster,usable_pdp_fact_sample,"labebe Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",4.5,132,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0D6YX3XG1_structured.json
B0DJ6XM7GK,sheep-plush-rocker,Sheep Plush Rocker,100,pdp_queue_high_confidence,weak_no_marketplace_social_proof,"Amazon.com: labebe - Baby Sheep Rocking Horse, Kids Plush Stuffed Rocking Animals, Ovis Aries Rocker with Seatbelt for 6 Months Babies, White Romney Rocking Horse for Toddler 1-3 Age Girl : Toys & Games",,,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0DJ6XM7GK_structured.json
