sku_id,dtc_title,dtc_price,dtc_review_count_visible,asin,amazon_rank,amazon_title,amazon_price,amazon_rating_text,amazon_review_count_text,amazon_url,amazon_image,labebe_like,candidate_score,duplicate_top_asin_count,search_candidate_status,search_candidate_note,screenshot
blue-squirrel-plush-rocker,Blue Squirrel Plush Rocker,119.99,,B0FSQ48N93,1,"Baby Rocking Horse, Blue Squirrel Rocking Horse for Toddler 1-3 Age Boy&Girl, Plush Rocking Squirrel with Seatbelt for 6 Months Babies, Children Ride-on Toy Wooden Animal Rocker",$85.49,"4.9 out of 5 stars, rating details",77.0,https://www.amazon.com/labebe-Rocking-Squirrel-Seatbelt-Children/dp/B0FSQ48N93,https://m.media-amazon.com/images/I/61niSVY1uSL._AC_UL320_.jpg,True,100,1,pdp_queue_high_confidence,Labebe-like top search result; run PDP probe and image/variant gate.,qa/marketplace_probe/amazon_search_candidates_full_v1/blue-squirrel-plush-rocker.png
fox-plush-rocker,Fox Plush Rocker,119.99,4.0,B0DSVJB5QH,1,"Baby Rocking Horse, Brownish Red Fox Rocking Horse with Seat Belt, Plush Animal Rocker for Kids, Stuffed Rocker Toy for Children 6M-3 Years Old Girl&Boy",$93.49,"4.8 out of 5 stars, rating details",69.0,https://www.amazon.com/labebe-Rocking-Brownish-Stuffed-Children/dp/B0DSVJB5QH,https://m.media-amazon.com/images/I/71E-oZfuaRL._AC_UL320_.jpg,True,100,1,pdp_queue_high_confidence,Labebe-like top search result; run PDP probe and image/variant gate.,qa/marketplace_probe/amazon_search_candidates_full_v1/fox-plush-rocker.png
pink-unicorn-plush-rocker,Pink Unicorn Plush Rocker,109.99,18.0,B072LXVM36,1,"Baby Rocking Horse, Ride Unicorn, Kid Ride On Toy for 6 Month-3 Year Old, Infant (Boy Girl) Plush Animal Rocker, Toddler/Child Stuffed Ride Toy (Pink) | Kid Ride On Toy, Infant, Plush Animal Rocker, Toddler/Child, Stuffed Ride Toy","JPY 15,924","4.7 out of 5 stars, rating details",2.0,https://www.amazon.com/Labebe-Rocking-Unicorn-Rocker-Stuffed/dp/B072LXVM36,https://m.media-amazon.com/images/I/61FPE4tksSL._AC_UL320_.jpg,True,100,1,pdp_queue_high_confidence,Labebe-like top search result; run PDP probe and image/variant gate.,qa/marketplace_probe/amazon_search_candidates_full_v1/pink-unicorn-plush-rocker.png
sheep-plush-rocker,Sheep Plush Rocker,109.99,3.0,B0DJ6XM7GK,1,"Baby Sheep Rocking Horse, Kids Plush Stuffed Rocking Animals, Ovis Aries Rocker with Seatbelt for 6 Months Babies, White Romney Rocking Horse for Toddler 1-3 Age Girl",$119.99,"4.7 out of 5 stars, rating details",358.0,https://www.amazon.com/labebe-Rocking-Stuffed-Animals-Seatbelt/dp/B0DJ6XM7GK,https://m.media-amazon.com/images/I/61aq8sgXxVL._AC_UL320_.jpg,True,100,1,pdp_queue_high_confidence,Labebe-like top search result; run PDP probe and image/variant gate.,qa/marketplace_probe/amazon_search_candidates_full_v1/sheep-plush-rocker.png
wooden-rocking-horse,Wooden Rocking Horse,65.99,,B0DSZXRZZ1,1,"Wooden Rocking Horse, Baby Wooden Ride On Toys for 12M+, White Rocker Toy with Removable Fence, Toddler Riding Toy Indoor/Outdoor, Nursery Birthday Gift",$50.99,"4.7 out of 5 stars, rating details",75.0,https://www.amazon.com/labebe-Rocking-Removable-Toddler-Birthday/dp/B0DSZXRZZ1,https://m.media-amazon.com/images/I/614ditBBrlL._AC_UL320_.jpg,True,100,1,pdp_queue_high_confidence,Labebe-like top search result; run PDP probe and image/variant gate.,qa/marketplace_probe/amazon_search_candidates_full_v1/wooden-rocking-horse.png
white-swan-plush-rocker,White Swan Plush Rocker From,139.99,6.0,B0BVR63LRR,1,"Kids Rocking Horse White Swan with Little Plush Doll Toys, Stuffed Animal Wooden Rocker for Children 6 Months Boys and Girls/Nursery Christmas, Birthday Gift (Rocking Swan with Doll)",$149.99,"4.8 out of 5 stars, rating details",560.0,https://www.amazon.com/labebe-Rocking-Children-Christmas-Birthday/dp/B0BVR63LRR,https://m.media-amazon.com/images/I/61ty7adkV+L._AC_UL320_.jpg,True,94,1,pdp_queue_high_confidence,Labebe-like top search result; run PDP probe and image/variant gate.,qa/marketplace_probe/amazon_search_candidates_full_v1/white-swan-plush-rocker.png
princess-vanity-set-with-stool-and-lights,Princess Vanity Set with Stool and Lights,119.99,3.0,B0FLD8TWWN,1,"Kids Vanity, Girls Vanity Desk with LED Changing Lights, Pretend Play Princess Vanity Set, Wooden Toddler Makeup Desk Dressing Table with Drawer and Chair (White)",$99.99,"4.3 out of 5 stars, rating details",44.0,https://www.amazon.com/labebe-Changing-Pretend-Princess-Dressing/dp/B0FLD8TWWN,https://m.media-amazon.com/images/I/71f6js77iLL._AC_UL320_.jpg,True,92,1,pdp_queue_high_confidence,Labebe-like top search result; run PDP probe and image/variant gate.,qa/marketplace_probe/amazon_search_candidates_full_v1/princess-vanity-set-with-stool-and-lights.png
kids-art-table-chair-set-with-easel-3-in-1,Kids Art Table & Chair Set with Easel (3 in 1),125.99,7.0,B0G3PQSH77,1,"Montessori Weaning Table and Chair Set - Adjustable Toddler Eating Table with Baby Bibs, Ideal for Mealtime & Learning, Nursery Birthday Gift","JPY 9,553","5.0 out of 5 stars, rating details",9.0,https://www.amazon.com/labebe-Montessori-Weaning-Table-Chair/dp/B0G3PQSH77,https://m.media-amazon.com/images/I/71pb8+t0jDL._AC_UL320_.jpg,True,85,1,pdp_queue_high_confidence,Labebe-like top search result; run PDP probe and image/variant gate.,qa/marketplace_probe/amazon_search_candidates_full_v1/kids-art-table-chair-set-with-easel-3-in-1.png
crocodile-plush-rocker,Crocodile Plush Rocker,115.99,4.0,B071774PWC,1,"Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on",$101.99,"4.6 out of 5 stars, rating details",662.0,https://www.amazon.com/Labebe-Rocking-Stuffed-Crocodile-Outdoor/dp/B071774PWC,https://m.media-amazon.com/images/I/71XtG2nyeIL._AC_UL320_.jpg,True,100,2,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/crocodile-plush-rocker.png
mammoth-plush-rocker,Mammoth Plush Rocker,119.99,3.0,B07Z3DXVQT,1,"Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift",$85.49,"4.7 out of 5 stars, rating details",323.0,https://www.amazon.com/labebe-Rocking-Mammoth-Stuffed-Birthday/dp/B07Z3DXVQT,https://m.media-amazon.com/images/I/71uAEj+oQKL._AC_UL320_.jpg,True,100,2,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/mammoth-plush-rocker.png
