sku_id,title_clean,primary_world,secondary_worlds,catalog_scope,catalog_caveat,collection_probes_seen,product_url,price_current,price_original,dtc_review_count_visible,dtc_signal_tier,amazon_identity_lane,asin,amazon_rating,amazon_review_count,amazon_sold_by,amazon_probe_quality,claim_gate_summary,marketplace_signal_tier,website_role,design_implication,next_data_action
activity-cube-baby-push-walker,Activity Cube Baby Push Walker,First Steps & Activity,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,new-in,https://labebeclub.com/product/activity-cube-baby-push-walker,69.99,93.99,,catalog_only_signal,variant_cluster_research,B0F8PZ7KZQ,4.6,73,Labebe Store,usable_pdp_fact_sample,,variant_cluster_not_exact,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
activity-montessori-baby-push-walker,Activity Montessori Baby Push Walker,First Steps & Activity,Montessori Home & Study,site_all_only,Observed on all-products page only; needs category placement confirmation.,all,https://labebeclub.com/product/activity-montessori-baby-push-walker,50.99,99.99,5,moderate_dtc_review_signal,variant_cluster_research,B0D6YX3XG1,4.5,132,Pretty valley,usable_pdp_fact_sample,,variant_cluster_not_exact,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
blue-squirrel-plush-rocker,Blue Squirrel Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;rockers-ride-ons,https://labebeclub.com/product/blue-squirrel-plush-rocker,119.99,199.99,,catalog_only_signal,identity_whitelist_candidate,B0FSQ48N93,4.9,77,Labebe Store,usable_pdp_fact_sample,,moderate_amazon_social_proof,best_seller_grid_and_gift_collection,Build a plush-character collection with birthday/nursery gift framing.,run_claim_gate_then_review_voc_seed_if_whitelisted
children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Children’s Writing Desk and Chair Set with Hutch & Cork Board for Study & Art,Montessori Home & Study,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture,https://labebeclub.com/product/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,179.99,209.99,12,strong_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,navigation_and_room_solution_anchor,"Use for Shop by Room, playroom order, study corner, and parent utility narratives.","recrawl PDP specs, dimensions, materials, care, and safety copy"
classic-montessori-baby-push-walker,Classic Montessori Baby Push Walker,First Steps & Activity,Montessori Home & Study,site_all_only,Observed on all-products page only; needs category placement confirmation.,all,https://labebeclub.com/product/classic-montessori-baby-push-walker,53.99,89.99,2,light_dtc_review_signal,variant_cluster_research,B0D6YX3XG1,4.5,132,Pretty valley,usable_pdp_fact_sample,,variant_cluster_not_exact,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
classic-montessori-baby-push-walker-eu,Classic Montessori Baby Push Walker(EU),First Steps & Activity,Montessori Home & Study,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,all,https://labebeclub.com/product/classic-montessori-baby-push-walker-eu,66.64,93.53,,regional_variant_do_not_hero,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,do_not_hero,Keep regional variants out of main US merchandising until locale/fulfillment is explicit.,regional_scope_review
cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,Pretend Play Worlds,Playroom Reset,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,pretend-play,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,129.99,189.99,9,strong_dtc_review_signal,identity_whitelist_candidate,B0FH1KX7XQ,4.4,25,Pretty valley,usable_pdp_fact_sample,blocked_for_dtc_reuse:1;internal_reference_only:4,light_amazon_social_proof,category_anchor_pdp,Use as the main pretend-play kitchen anchor with strong gallery and role-play modules.,"verify variant, specs, dimensions, and claims before production PDP copy"
crocodile-plush-rocker,Crocodile Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;rockers-ride-ons,https://labebeclub.com/product/crocodile-plush-rocker,115.99,189.99,4,light_dtc_review_signal,identity_whitelist_candidate,B071774PWC,4.6,662,Labebe Store,usable_pdp_fact_sample,,strong_amazon_social_proof,homepage_hero_or_best_seller,"Use as proof-rich giftable hero, but keep Amazon proof internal unless approved for public copy.",prepare_pdp_story_and_review_voc_after_authorized_crawl
doll-stroller-baby-push-walker,Doll Stroller Baby Push Walker,First Steps & Activity,,site_all_only,Observed on all-products page only; needs category placement confirmation.,all,https://labebeclub.com/product/doll-stroller-baby-push-walker,60.99,99.99,,catalog_only_signal,variant_cluster_research,B0F8PZ7KZQ,4.6,73,Labebe Store,usable_pdp_fact_sample,blocked_for_dtc_reuse:1;internal_reference_only:2;manual_review_required:2,variant_cluster_not_exact,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
elephant-activity-wall-busy-board-panel,Elephant Activity Wall Busy Board Panel,First Steps & Activity,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,activity-educational-toys;new-in,https://labebeclub.com/product/elephant-activity-wall-busy-board-panel,95.99,139.99,,catalog_only_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
farm-themed-baby-push-walker,Farm-Themed Baby Push Walker,First Steps & Activity,,site_all_only,Observed on all-products page only; needs category placement confirmation.,all,https://labebeclub.com/product/farm-themed-baby-push-walker,52.99,99.99,,catalog_only_signal,blocked_negative_example,B0F8PZ7KZQ,4.6,73,Labebe Store,usable_pdp_fact_sample,,blocked_wrong_match,dtc_visible_marketplace_blocked,"The product can remain in DTC merchandising, but the current Amazon candidate is a known wrong match.",keep_negative_example_and_restart_asin_discovery
farm-themed-baby-push-walker-eu,Farm-Themed Baby Push Walker(EU),First Steps & Activity,,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,all,https://labebeclub.com/product/farm-themed-baby-push-walker-eu,67.46,93.53,,regional_variant_do_not_hero,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,do_not_hero,Keep regional variants out of main US merchandising until locale/fulfillment is explicit.,regional_scope_review
