sku_id,canonical_slug,title_clean,collection_probe,collection_probes_seen,product_url,currency,price_current,price_original,discount_listed,review_count_visible,primary_image_url_probe,catalog_scope,catalog_caveat,source_domain,observed_at,scrape_batch_id,promotion_status
activity-cube-baby-push-walker,activity-cube-baby-push-walker,Activity Cube Baby Push Walker,new-in,new-in,https://labebeclub.com/product/activity-cube-baby-push-walker,USD,69.99,93.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvZTA0YjlmZTkxMzMyNjE0Mzk0NDcxNjA2XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/e04b9fe91332614394471606_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:53.490227+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
activity-montessori-baby-push-walker,activity-montessori-baby-push-walker,Activity Montessori Baby Push Walker,all,all,https://labebeclub.com/product/activity-montessori-baby-push-walker,USD,50.99,99.99,,5.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNTUzYmU1YzAxMjk3NjA5MzQ1NjMyOTE1XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/553be5c01297609345632915_1.jpg,site_all_only,Observed on all-products page only; needs category placement confirmation.,labebeclub.com,2026-04-27T16:42:12.107596+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
blue-squirrel-plush-rocker,blue-squirrel-plush-rocker,Blue Squirrel Plush Rocker,all,all;rockers-ride-ons,https://labebeclub.com/product/blue-squirrel-plush-rocker,USD,119.99,199.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMmZlOTNhNWUxMjk3OTM1OTk4MDMwMzIwLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDgwfSwicm90YXRlIjpudWxsfX0=/2fe93a5e1297935998030320.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:12.110112+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Children’s Writing Desk and Chair Set with Hutch & Cork Board for Study & Art,furniture,furniture,https://labebeclub.com/product/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,USD,179.99,209.99,14%,12.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNmRhMzIyYjcxMzQ5OTk4MTkwNzI5MTQ1XzkuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/6da322b71349998190729145_9.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:45.555775+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
classic-montessori-baby-push-walker,classic-montessori-baby-push-walker,Classic Montessori Baby Push Walker,all,all,https://labebeclub.com/product/classic-montessori-baby-push-walker,USD,53.99,89.99,,2.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMzE2OGFjNDkxMjY5MzM3MzcxMDY0NDUyXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/3168ac491269337371064452_1.jpg,site_all_only,Observed on all-products page only; needs category placement confirmation.,labebeclub.com,2026-04-27T16:42:12.109274+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
classic-montessori-baby-push-walker-eu,classic-montessori-baby-push-walker-eu,Classic Montessori Baby Push Walker(EU),all,all,https://labebeclub.com/product/classic-montessori-baby-push-walker-eu,USD,66.64,93.53,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNmQ0ZjAxZmUxMjk3OTUwOTgwMDg0MTAyXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/6d4f01fe1297950980084102_1.jpg,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,labebeclub.com,2026-04-27T16:42:12.108354+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
cream-wooden-play-kitchen-set-with-storage,cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,pretend-play,pretend-play,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,USD,129.99,189.99,,9.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMmY5NTU1ZTIxMzY0Mzc3Nzk5OTcxMjc0LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NjQwfSwicm90YXRlIjpudWxsfX0=/2f9555e21364377799971274.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:28.714534+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
crocodile-plush-rocker,crocodile-plush-rocker,Crocodile Plush Rocker,all,all;rockers-ride-ons,https://labebeclub.com/product/crocodile-plush-rocker,USD,115.99,189.99,,4.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNGM0OWM2OWUxMjUxNjMwNDg3NDk2NjQ3XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/4c49c69e1251630487496647_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:12.108695+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
doll-stroller-baby-push-walker,doll-stroller-baby-push-walker,Doll Stroller Baby Push Walker,all,all,https://labebeclub.com/product/doll-stroller-baby-push-walker,USD,60.99,99.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNDI3YzJiYzAxMjk3OTMyNjY3NzUyODYwLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDgwfSwicm90YXRlIjpudWxsfX0=/427c2bc01297932667752860.jpg,site_all_only,Observed on all-products page only; needs category placement confirmation.,labebeclub.com,2026-04-27T16:42:12.107701+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
elephant-activity-wall-busy-board-panel,elephant-activity-wall-busy-board-panel,Elephant Activity Wall Busy Board Panel,activity-educational-toys,activity-educational-toys;new-in,https://labebeclub.com/product/elephant-activity-wall-busy-board-panel,USD,95.99,139.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMTc1N2E4ZDcxMzMyNjEzNDcxNzI0NjgzXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/1757a8d71332613471724683_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:37.003702+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
