sku_id,canonical_slug,title_clean,collection,product_url,currency,price_current,price_original,review_count,source_domain,last_seen_ts,parse_quality,media_join_status,marketplace_identity_status,public_claim_status,notes
pink-unicorn-plush-rocker,pink-unicorn-plush-rocker,Pink Unicorn Plush Rocker,rockers-ride-ons,https://labebeclub.com/product/pink-unicorn-plush-rocker,USD,109.99,,18,labebeclub.com,2026-04-24,clean,local_image_available,candidate,price_review_room_gift_allowed,Marketplace candidate exists but canonical ASIN not accepted.
highlander-cattle-plush-rocker,highlander-cattle-plush-rocker,Highlander Cattle Plush Rocker,rockers-ride-ons,https://labebeclub.com/product/highlander-cattle-plush-rocker,USD,125.99,199.99,6,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_review_room_gift_allowed,Needs marketplace identity search.
llama-plush-rocker,llama-plush-rocker,Llama Plush Rocker,rockers-ride-ons,https://labebeclub.com/product/llama-plush-rocker,USD,105.99,189.99,7,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_review_room_gift_allowed,Useful gift pairing SKU.
foldable-learning-tower-montessori-kitchen-tower-log-color,foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower Montessori Kitchen Tower,furniture,https://labebeclub.com/product/foldable-learning-tower-montessori-kitchen-tower-log-color,USD,79.99,109.99,,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_room_allowed,Needs specs and safety/warnings source capture before stronger claims.
learning-tower-montessori-kitchen-tower-white,learning-tower-montessori-kitchen-tower-white,Learning Tower Montessori Kitchen Tower White,furniture,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-white,USD,55.99,99.99,,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_room_allowed,Comparison candidate for learning tower path.
natural-wood-montessori-shelf-with-storage-boxes,natural-wood-montessori-shelf-with-storage-boxes,Natural Wood Montessori Shelf with Storage Boxes,furniture,https://labebeclub.com/product/natural-wood-montessori-shelf-with-storage-boxes,USD,114.99,,9,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_review_room_allowed,Playroom reset hero candidate.
kids-toy-storage-organizer-bookshelf-with-bins,kids-toy-storage-organizer-bookshelf-with-bins,Kids Toy Storage Organizer Bookshelf with Bins,furniture,https://labebeclub.com/product/kids-toy-storage-organizer-bookshelf-with-bins,USD,105.99,,7,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_review_room_allowed,Strong room-problem entry product.
cream-wooden-play-kitchen-set-with-storage,cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,pretend-play,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,USD,129.99,,9,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_review_play_allowed,Needs marketplace identity search.
midnight-serenity-wooden-play-kitchen-set,midnight-serenity-wooden-play-kitchen-set,Midnight Serenity Wooden Play Kitchen Set,pretend-play,https://labebeclub.com/product/midnight-serenity-wooden-play-kitchen-set,USD,129.99,,10,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_review_play_allowed,High visible review-count play kitchen.
children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Children's Writing Desk and Chair Set,furniture,https://labebeclub.com/product/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,USD,179.99,209.99,12,labebeclub.com,2026-04-24,clean,local_image_available,no-match,price_review_room_allowed,High-ticket study/art room SKU.
